ACTIVITY_DATE,STATION_NAME,ACTIVITY_HOUR,TOTAL_ACTIVITY,DENSITY_CATEGORY,LATITUDE,LONGITUDE
2024-02-01,Amsterdam Ave & W 82 St,17,15,Intense,40.785801649,-73.9910519
2024-02-01,Amsterdam Ave & W 82 St,20,15,Intense,40.785801649,-73.9910519
2024-02-01,Broadway & W 41 St,9,42,Intense,40.7713065,-74.00438241666667
2024-02-01,Broadway & W 61 St,19,23,Intense,40.80501876666666,-74.0118829
2024-02-01,Central Park West & W 72 St,13,15,Intense,40.776044846,-74.012132049
2024-02-01,Christopher St & Greenwich St,18,24,Intense,40.773668883333336,-74.01
2024-02-01,Christopher St & Greenwich St,8,24,Intense,40.773668883333336,-74.01
2024-02-01,E 11 St & Ave B,18,17,Intense,40.74,-73.980072498
2024-02-01,E 11 St & Ave B,8,17,Intense,40.74,-73.980072498
2024-02-01,E 20 St & FDR Dr,17,22,Intense,40.7634704,-74.01416991666666
2024-02-01,E 22 St & 2 Ave,9,19,Intense,40.75177073333333,-73.98451423333333
2024-02-01,E 26 St & 3 Ave,8,17,Intense,40.80276775,-73.9888916
2024-02-01,E 4 St & Ave B,20,19,Intense,40.77087568333334,-74.00283943333334
2024-02-01,Greenwich St & Hubert St,17,19,Intense,40.72859978333334,-74.01196693333333
2024-02-01,Mercer St & Bleecker St,18,30,Intense,40.764592283333336,-74.00960505
2024-02-01,Metropolitan Ave & Bedford Ave,19,21,Intense,40.79212866666667,-74.00099121666666
2024-02-01,Murray St & Greenwich St,17,14,Intense,40.79212866666667,-74.011520505
2024-02-01,Murray St & Greenwich St,7,14,Intense,40.79212866666667,-74.011520505
2024-02-01,W 20 St & 8 Ave,8,16,Intense,40.76122175,-74.001143217
2024-02-01,W 22 St & 8 Ave,10,12,Intense,40.745071054,-73.999911785
2024-02-01,W 22 St & 8 Ave,17,12,Intense,40.745071054,-73.999911785
2024-02-01,W 31 St & 7 Ave,16,38,Intense,40.75017643,-73.993311048
2024-02-01,W 51 St & 6 Ave,8,26,Intense,40.76156795,-73.982188582
2024-02-01,W 54 St & 11 Ave,17,28,Intense,40.77,-74
2024-02-02,Amsterdam Ave & W 82 St,19,17,Intense,40.785801649,-73.9910519
2024-02-02,Broadway & W 41 St,8,15,Intense,40.7713065,-74.00438241666667
2024-02-02,Broadway & W 61 St,18,21,Intense,40.80501876666666,-74.0118829
2024-02-02,Central Park West & W 72 St,17,15,Intense,40.776044846,-74.012132049
2024-02-02,Christopher St & Greenwich St,16,22,Intense,40.773668883333336,-74.01
2024-02-02,E 11 St & Ave B,17,15,Intense,40.74,-73.980072498
2024-02-02,E 11 St & Ave B,18,15,Intense,40.74,-73.980072498
2024-02-02,E 20 St & FDR Dr,18,22,Intense,40.7634704,-74.01416991666666
2024-02-02,E 22 St & 2 Ave,8,14,Intense,40.75177073333333,-73.98451423333333
2024-02-02,E 26 St & 3 Ave,18,14,Intense,40.80276775,-73.9888916
2024-02-02,E 4 St & Ave B,16,18,Intense,40.77087568333334,-74.00283943333334
2024-02-02,Greenwich St & Hubert St,7,11,Intense,40.72859978333334,-74.01196693333333
2024-02-02,Mercer St & Bleecker St,10,14,Intense,40.764592283333336,-74.00960505
2024-02-02,Mercer St & Bleecker St,18,14,Intense,40.764592283333336,-74.00960505
2024-02-02,Mercer St & Bleecker St,9,14,Intense,40.764592283333336,-74.00960505
2024-02-02,Metropolitan Ave & Bedford Ave,20,13,Intense,40.79212866666667,-74.00099121666666
2024-02-02,Murray St & Greenwich St,17,12,Intense,40.79212866666667,-74.011520505
2024-02-02,W 20 St & 8 Ave,18,18,Intense,40.76122175,-74.001143217
2024-02-02,W 22 St & 8 Ave,16,18,Intense,40.745071054,-73.999911785
2024-02-02,W 31 St & 7 Ave,15,27,Intense,40.75017643,-73.993311048
2024-02-02,W 51 St & 6 Ave,7,20,Intense,40.76156795,-73.982188582
2024-02-02,W 54 St & 11 Ave,18,16,Intense,40.77,-74
2024-02-02,W 54 St & 11 Ave,9,16,Intense,40.77,-74
2024-02-03,Amsterdam Ave & W 82 St,14,17,Intense,40.785801649,-73.9910519
2024-02-03,Broadway & W 41 St,11,8,Intense,40.7713065,-74.00438241666667
2024-02-03,Broadway & W 41 St,14,8,Intense,40.7713065,-74.00438241666667
2024-02-03,Broadway & W 61 St,13,21,Intense,40.80501876666666,-74.0118829
2024-02-03,Central Park West & W 72 St,16,20,Intense,40.776044846,-74.012132049
2024-02-03,Christopher St & Greenwich St,13,26,Intense,40.773668883333336,-74.01
2024-02-03,E 11 St & Ave B,17,21,Intense,40.74,-73.980072498
2024-02-03,E 20 St & FDR Dr,15,18,Intense,40.7634704,-74.01416991666666
2024-02-03,E 22 St & 2 Ave,17,15,Intense,40.75177073333333,-73.98451423333333
2024-02-03,E 26 St & 3 Ave,19,13,Intense,40.80276775,-73.9888916
2024-02-03,E 4 St & Ave B,12,26,Intense,40.77087568333334,-74.00283943333334
2024-02-03,Greenwich St & Hubert St,12,6,Intense,40.72859978333334,-74.01196693333333
2024-02-03,Mercer St & Bleecker St,13,18,Intense,40.764592283333336,-74.00960505
2024-02-03,Metropolitan Ave & Bedford Ave,11,18,Intense,40.79212866666667,-74.00099121666666
2024-02-03,Murray St & Greenwich St,10,10,Intense,40.79212866666667,-74.011520505
2024-02-03,W 20 St & 8 Ave,12,16,Intense,40.76122175,-74.001143217
2024-02-03,W 20 St & 8 Ave,14,16,Intense,40.76122175,-74.001143217
2024-02-03,W 22 St & 8 Ave,12,12,Intense,40.745071054,-73.999911785
2024-02-03,W 31 St & 7 Ave,14,13,Intense,40.75017643,-73.993311048
2024-02-03,W 51 St & 6 Ave,17,7,Intense,40.76156795,-73.982188582
2024-02-03,W 54 St & 11 Ave,12,14,Intense,40.77,-74
2024-02-03,W 54 St & 11 Ave,16,14,Intense,40.77,-74
2024-02-04,Amsterdam Ave & W 82 St,13,15,Intense,40.785801649,-73.9910519
2024-02-04,Broadway & W 41 St,19,8,Intense,40.7713065,-74.00438241666667
2024-02-04,Broadway & W 61 St,15,20,Intense,40.80501876666666,-74.0118829
2024-02-04,Central Park West & W 72 St,14,16,Intense,40.776044846,-74.012132049
2024-02-04,Christopher St & Greenwich St,15,22,Intense,40.773668883333336,-74.01
2024-02-04,E 11 St & Ave B,18,16,Intense,40.74,-73.980072498
2024-02-04,E 20 St & FDR Dr,15,16,Intense,40.7634704,-74.01416991666666
2024-02-04,E 22 St & 2 Ave,18,12,Intense,40.75177073333333,-73.98451423333333
2024-02-04,E 26 St & 3 Ave,15,14,Intense,40.80276775,-73.9888916
2024-02-04,E 4 St & Ave B,18,19,Intense,40.77087568333334,-74.00283943333334
2024-02-04,Greenwich St & Hubert St,10,5,Intense,40.72859978333334,-74.01196693333333
2024-02-04,Mercer St & Bleecker St,16,12,Intense,40.764592283333336,-74.00960505
2024-02-04,Mercer St & Bleecker St,19,12,Intense,40.764592283333336,-74.00960505
2024-02-04,Mercer St & Bleecker St,6,12,Intense,40.764592283333336,-74.00960505
2024-02-04,Metropolitan Ave & Bedford Ave,16,26,Intense,40.79212866666667,-74.00099121666666
2024-02-04,Murray St & Greenwich St,15,13,Intense,40.79212866666667,-74.011520505
2024-02-04,W 20 St & 8 Ave,13,14,Intense,40.76122175,-74.001143217
2024-02-04,W 20 St & 8 Ave,17,14,Intense,40.76122175,-74.001143217
2024-02-04,W 22 St & 8 Ave,10,12,Intense,40.745071054,-73.999911785
2024-02-04,W 31 St & 7 Ave,9,11,Intense,40.75017643,-73.993311048
2024-02-04,W 51 St & 6 Ave,17,7,Intense,40.76156795,-73.982188582
2024-02-04,W 54 St & 11 Ave,13,13,Intense,40.77,-74
2024-02-04,W 54 St & 11 Ave,14,13,Intense,40.77,-74
2024-02-05,Amsterdam Ave & W 82 St,19,17,Intense,40.785801649,-73.9910519
2024-02-05,Broadway & W 41 St,8,24,Intense,40.7713065,-74.00438241666667
2024-02-05,Broadway & W 61 St,19,18,Intense,40.80501876666666,-74.0118829
2024-02-05,Central Park West & W 72 St,15,13,Intense,40.776044846,-74.012132049
2024-02-05,Central Park West & W 72 St,19,13,Intense,40.776044846,-74.012132049
2024-02-05,Christopher St & Greenwich St,18,24,Intense,40.773668883333336,-74.01
2024-02-05,E 11 St & Ave B,17,13,Intense,40.74,-73.980072498
2024-02-05,E 11 St & Ave B,18,13,Intense,40.74,-73.980072498
2024-02-05,E 11 St & Ave B,21,13,Intense,40.74,-73.980072498
2024-02-05,E 20 St & FDR Dr,15,23,Intense,40.7634704,-74.01416991666666
2024-02-05,E 20 St & FDR Dr,19,23,Intense,40.7634704,-74.01416991666666
2024-02-05,E 22 St & 2 Ave,17,24,Intense,40.75177073333333,-73.98451423333333
2024-02-05,E 26 St & 3 Ave,9,14,Intense,40.80276775,-73.9888916
2024-02-05,E 4 St & Ave B,19,15,Intense,40.77087568333334,-74.00283943333334
2024-02-05,Greenwich St & Hubert St,18,15,Intense,40.72859978333334,-74.01196693333333
2024-02-05,Mercer St & Bleecker St,17,23,Intense,40.764592283333336,-74.00960505
2024-02-05,Metropolitan Ave & Bedford Ave,13,17,Intense,40.79212866666667,-74.00099121666666
2024-02-05,Metropolitan Ave & Bedford Ave,17,17,Intense,40.79212866666667,-74.00099121666666
2024-02-05,Metropolitan Ave & Bedford Ave,18,17,Intense,40.79212866666667,-74.00099121666666
2024-02-05,Murray St & Greenwich St,17,22,Intense,40.79212866666667,-74.011520505
2024-02-05,W 20 St & 8 Ave,18,15,Intense,40.76122175,-74.001143217
2024-02-05,W 22 St & 8 Ave,17,11,Intense,40.745071054,-73.999911785
2024-02-05,W 22 St & 8 Ave,18,11,Intense,40.745071054,-73.999911785
2024-02-05,W 31 St & 7 Ave,14,32,Intense,40.75017643,-73.993311048
2024-02-05,W 51 St & 6 Ave,8,19,Intense,40.76156795,-73.982188582
2024-02-05,W 54 St & 11 Ave,17,24,Intense,40.77,-74
2024-02-06,Amsterdam Ave & W 82 St,17,14,Intense,40.785801649,-73.9910519
2024-02-06,Amsterdam Ave & W 82 St,8,14,Intense,40.785801649,-73.9910519
2024-02-06,Broadway & W 41 St,8,29,Intense,40.7713065,-74.00438241666667
2024-02-06,Broadway & W 61 St,17,21,Intense,40.80501876666666,-74.0118829
2024-02-06,Central Park West & W 72 St,9,12,Intense,40.776044846,-74.012132049
2024-02-06,Christopher St & Greenwich St,16,28,Intense,40.773668883333336,-74.01
2024-02-06,E 11 St & Ave B,21,17,Intense,40.74,-73.980072498
2024-02-06,E 20 St & FDR Dr,18,34,Intense,40.7634704,-74.01416991666666
2024-02-06,E 22 St & 2 Ave,17,17,Intense,40.75177073333333,-73.98451423333333
2024-02-06,E 26 St & 3 Ave,19,15,Intense,40.80276775,-73.9888916
2024-02-06,E 4 St & Ave B,19,19,Intense,40.77087568333334,-74.00283943333334
2024-02-06,Greenwich St & Hubert St,7,28,Intense,40.72859978333334,-74.01196693333333
2024-02-06,Mercer St & Bleecker St,19,23,Intense,40.764592283333336,-74.00960505
2024-02-06,Metropolitan Ave & Bedford Ave,8,14,Intense,40.79212866666667,-74.00099121666666
2024-02-06,Murray St & Greenwich St,8,23,Intense,40.79212866666667,-74.011520505
2024-02-06,W 20 St & 8 Ave,16,21,Intense,40.76122175,-74.001143217
2024-02-06,W 22 St & 8 Ave,17,11,Intense,40.745071054,-73.999911785
2024-02-06,W 22 St & 8 Ave,19,11,Intense,40.745071054,-73.999911785
2024-02-06,W 31 St & 7 Ave,15,37,Intense,40.75017643,-73.993311048
2024-02-06,W 51 St & 6 Ave,8,30,Intense,40.76156795,-73.982188582
2024-02-06,W 54 St & 11 Ave,18,23,Intense,40.77,-74
2024-02-07,Amsterdam Ave & W 82 St,18,19,Intense,40.785801649,-73.9910519
2024-02-07,Amsterdam Ave & W 82 St,20,19,Intense,40.785801649,-73.9910519
2024-02-07,Broadway & W 41 St,8,36,Intense,40.7713065,-74.00438241666667
2024-02-07,Broadway & W 61 St,15,26,Intense,40.80501876666666,-74.0118829
2024-02-07,Central Park West & W 72 St,17,19,Intense,40.776044846,-74.012132049
2024-02-07,Christopher St & Greenwich St,8,27,Intense,40.773668883333336,-74.01
2024-02-07,E 11 St & Ave B,20,17,Intense,40.74,-73.980072498
2024-02-07,E 20 St & FDR Dr,18,29,Intense,40.7634704,-74.01416991666666
2024-02-07,E 22 St & 2 Ave,19,19,Intense,40.75177073333333,-73.98451423333333
2024-02-07,E 26 St & 3 Ave,18,17,Intense,40.80276775,-73.9888916
2024-02-07,E 4 St & Ave B,17,13,Intense,40.77087568333334,-74.00283943333334
2024-02-07,Greenwich St & Hubert St,17,25,Intense,40.72859978333334,-74.01196693333333
2024-02-07,Greenwich St & Hubert St,9,25,Intense,40.72859978333334,-74.01196693333333
2024-02-07,Mercer St & Bleecker St,17,27,Intense,40.764592283333336,-74.00960505
2024-02-07,Metropolitan Ave & Bedford Ave,16,18,Intense,40.79212866666667,-74.00099121666666
2024-02-07,Metropolitan Ave & Bedford Ave,8,18,Intense,40.79212866666667,-74.00099121666666
2024-02-07,Murray St & Greenwich St,17,21,Intense,40.79212866666667,-74.011520505
2024-02-07,W 20 St & 8 Ave,17,16,Intense,40.76122175,-74.001143217
2024-02-07,W 22 St & 8 Ave,20,17,Intense,40.745071054,-73.999911785
2024-02-07,W 31 St & 7 Ave,17,40,Intense,40.75017643,-73.993311048
2024-02-07,W 51 St & 6 Ave,8,26,Intense,40.76156795,-73.982188582
2024-02-07,W 54 St & 11 Ave,18,21,Intense,40.77,-74
2024-02-08,Amsterdam Ave & W 82 St,18,21,Intense,40.785801649,-73.9910519
2024-02-08,Broadway & W 41 St,8,28,Intense,40.7713065,-74.00438241666667
2024-02-08,Broadway & W 61 St,18,29,Intense,40.80501876666666,-74.0118829
2024-02-08,Central Park West & W 72 St,12,15,Intense,40.776044846,-74.012132049
2024-02-08,Central Park West & W 72 St,14,15,Intense,40.776044846,-74.012132049
2024-02-08,Central Park West & W 72 St,17,15,Intense,40.776044846,-74.012132049
2024-02-08,Central Park West & W 72 St,18,15,Intense,40.776044846,-74.012132049
2024-02-08,Christopher St & Greenwich St,18,26,Intense,40.773668883333336,-74.01
2024-02-08,E 11 St & Ave B,19,16,Intense,40.74,-73.980072498
2024-02-08,E 20 St & FDR Dr,19,34,Intense,40.7634704,-74.01416991666666
2024-02-08,E 22 St & 2 Ave,16,19,Intense,40.75177073333333,-73.98451423333333
2024-02-08,E 26 St & 3 Ave,16,17,Intense,40.80276775,-73.9888916
2024-02-08,E 26 St & 3 Ave,18,17,Intense,40.80276775,-73.9888916
2024-02-08,E 4 St & Ave B,18,16,Intense,40.77087568333334,-74.00283943333334
2024-02-08,Greenwich St & Hubert St,7,27,Intense,40.72859978333334,-74.01196693333333
2024-02-08,Mercer St & Bleecker St,13,26,Intense,40.764592283333336,-74.00960505
2024-02-08,Metropolitan Ave & Bedford Ave,17,22,Intense,40.79212866666667,-74.00099121666666
2024-02-08,Murray St & Greenwich St,7,14,Intense,40.79212866666667,-74.011520505
2024-02-08,W 20 St & 8 Ave,16,18,Intense,40.76122175,-74.001143217
2024-02-08,W 22 St & 8 Ave,15,15,Intense,40.745071054,-73.999911785
2024-02-08,W 31 St & 7 Ave,17,34,Intense,40.75017643,-73.993311048
2024-02-08,W 51 St & 6 Ave,7,26,Intense,40.76156795,-73.982188582
2024-02-08,W 51 St & 6 Ave,9,26,Intense,40.76156795,-73.982188582
2024-02-08,W 54 St & 11 Ave,17,20,Intense,40.77,-74
2024-02-08,W 54 St & 11 Ave,19,20,Intense,40.77,-74
2024-02-09,Amsterdam Ave & W 82 St,18,27,Intense,40.785801649,-73.9910519
2024-02-09,Broadway & W 41 St,12,22,Intense,40.7713065,-74.00438241666667
2024-02-09,Broadway & W 61 St,16,27,Intense,40.80501876666666,-74.0118829
2024-02-09,Central Park West & W 72 St,14,18,Intense,40.776044846,-74.012132049
2024-02-09,Christopher St & Greenwich St,16,26,Intense,40.773668883333336,-74.01
2024-02-09,E 11 St & Ave B,18,18,Intense,40.74,-73.980072498
2024-02-09,E 20 St & FDR Dr,18,26,Intense,40.7634704,-74.01416991666666
2024-02-09,E 22 St & 2 Ave,17,21,Intense,40.75177073333333,-73.98451423333333
2024-02-09,E 26 St & 3 Ave,17,14,Intense,40.80276775,-73.9888916
2024-02-09,E 4 St & Ave B,19,18,Intense,40.77087568333334,-74.00283943333334
2024-02-09,Greenwich St & Hubert St,15,12,Intense,40.72859978333334,-74.01196693333333
2024-02-09,Mercer St & Bleecker St,12,24,Intense,40.764592283333336,-74.00960505
2024-02-09,Metropolitan Ave & Bedford Ave,16,19,Intense,40.79212866666667,-74.00099121666666
2024-02-09,Murray St & Greenwich St,9,16,Intense,40.79212866666667,-74.011520505
2024-02-09,W 20 St & 8 Ave,17,17,Intense,40.76122175,-74.001143217
2024-02-09,W 22 St & 8 Ave,16,15,Intense,40.745071054,-73.999911785
2024-02-09,W 31 St & 7 Ave,14,31,Intense,40.75017643,-73.993311048
2024-02-09,W 31 St & 7 Ave,16,31,Intense,40.75017643,-73.993311048
2024-02-09,W 51 St & 6 Ave,7,16,Intense,40.76156795,-73.982188582
2024-02-09,W 54 St & 11 Ave,18,20,Intense,40.77,-74
2024-02-10,Amsterdam Ave & W 82 St,11,22,Intense,40.785801649,-73.9910519
2024-02-10,Broadway & W 41 St,19,8,Intense,40.7713065,-74.00438241666667
2024-02-10,Broadway & W 61 St,17,22,Intense,40.80501876666666,-74.0118829
2024-02-10,Central Park West & W 72 St,16,33,Intense,40.776044846,-74.012132049
2024-02-10,Christopher St & Greenwich St,14,37,Intense,40.773668883333336,-74.01
2024-02-10,E 11 St & Ave B,14,17,Intense,40.74,-73.980072498
2024-02-10,E 20 St & FDR Dr,17,25,Intense,40.7634704,-74.01416991666666
2024-02-10,E 22 St & 2 Ave,12,14,Intense,40.75177073333333,-73.98451423333333
2024-02-10,E 26 St & 3 Ave,17,13,Intense,40.80276775,-73.9888916
2024-02-10,E 4 St & Ave B,12,17,Intense,40.77087568333334,-74.00283943333334
2024-02-10,Greenwich St & Hubert St,22,7,Intense,40.72859978333334,-74.01196693333333
2024-02-10,Greenwich St & Hubert St,23,7,Intense,40.72859978333334,-74.01196693333333
2024-02-10,Mercer St & Bleecker St,13,19,Intense,40.764592283333336,-74.00960505
2024-02-10,Metropolitan Ave & Bedford Ave,12,21,Intense,40.79212866666667,-74.00099121666666
2024-02-10,Murray St & Greenwich St,10,10,Intense,40.79212866666667,-74.011520505
2024-02-10,Murray St & Greenwich St,16,10,Intense,40.79212866666667,-74.011520505
2024-02-10,W 20 St & 8 Ave,13,17,Intense,40.76122175,-74.001143217
2024-02-10,W 20 St & 8 Ave,16,17,Intense,40.76122175,-74.001143217
2024-02-10,W 20 St & 8 Ave,17,17,Intense,40.76122175,-74.001143217
2024-02-10,W 22 St & 8 Ave,17,17,Intense,40.745071054,-73.999911785
2024-02-10,W 31 St & 7 Ave,19,18,Intense,40.75017643,-73.993311048
2024-02-10,W 51 St & 6 Ave,14,9,Intense,40.76156795,-73.982188582
2024-02-10,W 54 St & 11 Ave,13,20,Intense,40.77,-74
2024-02-10,W 54 St & 11 Ave,15,20,Intense,40.77,-74
2024-02-11,Amsterdam Ave & W 82 St,11,21,Intense,40.785801649,-73.9910519
2024-02-11,Broadway & W 41 St,13,8,Intense,40.7713065,-74.00438241666667
2024-02-11,Broadway & W 41 St,16,8,Intense,40.7713065,-74.00438241666667
2024-02-11,Broadway & W 61 St,10,22,Intense,40.80501876666666,-74.0118829
2024-02-11,Central Park West & W 72 St,11,19,Intense,40.776044846,-74.012132049
2024-02-11,Christopher St & Greenwich St,16,19,Intense,40.773668883333336,-74.01
2024-02-11,E 11 St & Ave B,23,15,Intense,40.74,-73.980072498
2024-02-11,E 20 St & FDR Dr,17,27,Intense,40.7634704,-74.01416991666666
2024-02-11,E 22 St & 2 Ave,12,14,Intense,40.75177073333333,-73.98451423333333
2024-02-11,E 22 St & 2 Ave,14,14,Intense,40.75177073333333,-73.98451423333333
2024-02-11,E 26 St & 3 Ave,18,23,Intense,40.80276775,-73.9888916
2024-02-11,E 26 St & 3 Ave,23,23,Intense,40.80276775,-73.9888916
2024-02-11,E 4 St & Ave B,16,17,Intense,40.77087568333334,-74.00283943333334
2024-02-11,Greenwich St & Hubert St,17,7,Intense,40.72859978333334,-74.01196693333333
2024-02-11,Greenwich St & Hubert St,19,7,Intense,40.72859978333334,-74.01196693333333
2024-02-11,Mercer St & Bleecker St,10,15,Intense,40.764592283333336,-74.00960505
2024-02-11,Metropolitan Ave & Bedford Ave,15,23,Intense,40.79212866666667,-74.00099121666666
2024-02-11,Murray St & Greenwich St,17,21,Intense,40.79212866666667,-74.011520505
2024-02-11,W 20 St & 8 Ave,13,12,Intense,40.76122175,-74.001143217
2024-02-11,W 20 St & 8 Ave,14,12,Intense,40.76122175,-74.001143217
2024-02-11,W 20 St & 8 Ave,15,12,Intense,40.76122175,-74.001143217
2024-02-11,W 20 St & 8 Ave,16,12,Intense,40.76122175,-74.001143217
2024-02-11,W 20 St & 8 Ave,18,12,Intense,40.76122175,-74.001143217
2024-02-11,W 22 St & 8 Ave,11,16,Intense,40.745071054,-73.999911785
2024-02-11,W 31 St & 7 Ave,11,13,Intense,40.75017643,-73.993311048
2024-02-11,W 51 St & 6 Ave,12,4,Intense,40.76156795,-73.982188582
2024-02-11,W 51 St & 6 Ave,23,4,Intense,40.76156795,-73.982188582
2024-02-11,W 54 St & 11 Ave,23,15,Intense,40.77,-74
2024-02-12,Amsterdam Ave & W 82 St,16,19,Intense,40.785801649,-73.9910519
2024-02-12,Broadway & W 41 St,17,22,Intense,40.7713065,-74.00438241666667
2024-02-12,Broadway & W 61 St,17,25,Intense,40.80501876666666,-74.0118829
2024-02-12,Central Park West & W 72 St,15,11,Intense,40.776044846,-74.012132049
2024-02-12,Central Park West & W 72 St,20,11,Intense,40.776044846,-74.012132049
2024-02-12,Christopher St & Greenwich St,17,26,Intense,40.773668883333336,-74.01
2024-02-12,E 11 St & Ave B,19,16,Intense,40.74,-73.980072498
2024-02-12,E 20 St & FDR Dr,18,24,Intense,40.7634704,-74.01416991666666
2024-02-12,E 22 St & 2 Ave,21,16,Intense,40.75177073333333,-73.98451423333333
2024-02-12,E 26 St & 3 Ave,14,11,Intense,40.80276775,-73.9888916
2024-02-12,E 4 St & Ave B,18,15,Intense,40.77087568333334,-74.00283943333334
2024-02-12,Greenwich St & Hubert St,7,24,Intense,40.72859978333334,-74.01196693333333
2024-02-12,Mercer St & Bleecker St,8,23,Intense,40.764592283333336,-74.00960505
2024-02-12,Metropolitan Ave & Bedford Ave,17,18,Intense,40.79212866666667,-74.00099121666666
2024-02-12,Metropolitan Ave & Bedford Ave,20,18,Intense,40.79212866666667,-74.00099121666666
2024-02-12,Murray St & Greenwich St,17,22,Intense,40.79212866666667,-74.011520505
2024-02-12,W 20 St & 8 Ave,17,19,Intense,40.76122175,-74.001143217
2024-02-12,W 22 St & 8 Ave,15,12,Intense,40.745071054,-73.999911785
2024-02-12,W 22 St & 8 Ave,16,12,Intense,40.745071054,-73.999911785
2024-02-12,W 31 St & 7 Ave,15,33,Intense,40.75017643,-73.993311048
2024-02-12,W 51 St & 6 Ave,8,23,Intense,40.76156795,-73.982188582
2024-02-12,W 54 St & 11 Ave,9,24,Intense,40.77,-74
2024-02-13,Amsterdam Ave & W 82 St,14,8,Intense,40.785801649,-73.9910519
2024-02-13,Broadway & W 41 St,15,6,Intense,40.7713065,-74.00438241666667
2024-02-13,Broadway & W 41 St,18,6,Intense,40.7713065,-74.00438241666667
2024-02-13,Broadway & W 41 St,19,6,Intense,40.7713065,-74.00438241666667
2024-02-13,Broadway & W 41 St,8,6,Intense,40.7713065,-74.00438241666667
2024-02-13,Broadway & W 61 St,17,9,Intense,40.80501876666666,-74.0118829
2024-02-13,Central Park West & W 72 St,18,10,Intense,40.776044846,-74.012132049
2024-02-13,Christopher St & Greenwich St,19,13,Intense,40.773668883333336,-74.01
2024-02-13,E 11 St & Ave B,21,11,Intense,40.74,-73.980072498
2024-02-13,E 20 St & FDR Dr,15,10,Intense,40.7634704,-74.01416991666666
2024-02-13,E 20 St & FDR Dr,22,10,Intense,40.7634704,-74.01416991666666
2024-02-13,E 22 St & 2 Ave,18,8,Intense,40.75177073333333,-73.98451423333333
2024-02-13,E 26 St & 3 Ave,20,9,Intense,40.80276775,-73.9888916
2024-02-13,E 4 St & Ave B,18,11,Intense,40.77087568333334,-74.00283943333334
2024-02-13,E 4 St & Ave B,20,11,Intense,40.77087568333334,-74.00283943333334
2024-02-13,Greenwich St & Hubert St,21,4,Intense,40.72859978333334,-74.01196693333333
2024-02-13,Mercer St & Bleecker St,18,12,Intense,40.764592283333336,-74.00960505
2024-02-13,Metropolitan Ave & Bedford Ave,18,10,Intense,40.79212866666667,-74.00099121666666
2024-02-13,Murray St & Greenwich St,18,16,Intense,40.79212866666667,-74.011520505
2024-02-13,W 20 St & 8 Ave,17,6,Intense,40.76122175,-74.001143217
2024-02-13,W 20 St & 8 Ave,18,6,Intense,40.76122175,-74.001143217
2024-02-13,W 22 St & 8 Ave,18,9,Intense,40.745071054,-73.999911785
2024-02-13,W 31 St & 7 Ave,17,15,Intense,40.75017643,-73.993311048
2024-02-13,W 51 St & 6 Ave,13,4,Intense,40.76156795,-73.982188582
2024-02-13,W 51 St & 6 Ave,14,4,Intense,40.76156795,-73.982188582
2024-02-13,W 51 St & 6 Ave,8,4,Intense,40.76156795,-73.982188582
2024-02-13,W 54 St & 11 Ave,16,12,Intense,40.77,-74
2024-02-14,Amsterdam Ave & W 82 St,17,17,Intense,40.785801649,-73.9910519
2024-02-14,Broadway & W 41 St,9,19,Intense,40.7713065,-74.00438241666667
2024-02-14,Broadway & W 61 St,17,20,Intense,40.80501876666666,-74.0118829
2024-02-14,Central Park West & W 72 St,18,14,Intense,40.776044846,-74.012132049
2024-02-14,Christopher St & Greenwich St,16,20,Intense,40.773668883333336,-74.01
2024-02-14,E 11 St & Ave B,18,14,Intense,40.74,-73.980072498
2024-02-14,E 20 St & FDR Dr,18,23,Intense,40.7634704,-74.01416991666666
2024-02-14,E 22 St & 2 Ave,17,19,Intense,40.75177073333333,-73.98451423333333
2024-02-14,E 22 St & 2 Ave,18,19,Intense,40.75177073333333,-73.98451423333333
2024-02-14,E 26 St & 3 Ave,18,10,Intense,40.80276775,-73.9888916
2024-02-14,E 4 St & Ave B,15,13,Intense,40.77087568333334,-74.00283943333334
2024-02-14,Greenwich St & Hubert St,17,21,Intense,40.72859978333334,-74.01196693333333
2024-02-14,Mercer St & Bleecker St,12,17,Intense,40.764592283333336,-74.00960505
2024-02-14,Mercer St & Bleecker St,14,17,Intense,40.764592283333336,-74.00960505
2024-02-14,Metropolitan Ave & Bedford Ave,18,15,Intense,40.79212866666667,-74.00099121666666
2024-02-14,Murray St & Greenwich St,17,19,Intense,40.79212866666667,-74.011520505
2024-02-14,W 20 St & 8 Ave,17,21,Intense,40.76122175,-74.001143217
2024-02-14,W 22 St & 8 Ave,17,10,Intense,40.745071054,-73.999911785
2024-02-14,W 31 St & 7 Ave,17,34,Intense,40.75017643,-73.993311048
2024-02-14,W 51 St & 6 Ave,6,13,Intense,40.76156795,-73.982188582
2024-02-14,W 54 St & 11 Ave,17,21,Intense,40.77,-74
2024-02-15,Amsterdam Ave & W 82 St,18,14,Intense,40.785801649,-73.9910519
2024-02-15,Broadway & W 41 St,18,25,Intense,40.7713065,-74.00438241666667
2024-02-15,Broadway & W 61 St,17,16,Intense,40.80501876666666,-74.0118829
2024-02-15,Central Park West & W 72 St,16,14,Intense,40.776044846,-74.012132049
2024-02-15,Christopher St & Greenwich St,15,18,Intense,40.773668883333336,-74.01
